	Case1	Case2	Case3	Case4	Case5	NegCtrl1	NegCtrl2	NegCtrl3	NegCtrl4	NegCtrl5
AHSG	0	0	0	0	0	0	0	0	0	0
AHSP	0	12.2910258879403	14.5196750849572	0	0.946692857206906	30.8704526168634	0	0	4.56726163754787	0
AICDA	0	0	0	1.5950449297137	0.320540999607874	0	0	0	0.773215198374696	0
AIDA	54.7906531264698	29.6803547096846	27.972332459276	16.3944386466651	31.6520224805373	54.5695713554973	43.2438515249829	46.7204306931356	34.6278726139794	28.9950877121745
AIF1	98.2767763097611	101.794725610476	163.847660921158	67.7785021259438	131.000052152295	17.4179223131887	144.504378916712	102.257657984148	28.9909045215227	128.334171003459
AIF1L	9.71215830268989	4.35734479353017	10.449288721737	7.48187144234079	16.8210830868955	10.5548971581761	1.27912310256811	18.2122309025677	6.80047071527697	4.6313346366455
AIFM1	28.2260024383983	20.9524229227916	20.9838438022015	17.9884014396388	29.823402205803	31.6527447884409	8.2009356569975	15.6636525914416	32.7002670782692	21.0326939944009
AIFM1P1	0	0	0	0	0	0	0	0	0	0
AIFM2	18.3926498459704	7.37427359297037	10.039358595743	15.4416501550005	10.1822485888096	20.0272186597165	3.95992599055994	8.25097493504033	21.5208301036238	11.1515803750141
AIFM3	1.67538292570008	2.05202622278094	0.589192517950958	7.3405733702951	2.21274775585632	0.334050444906708	0.627483180939496	2.61487109124434	0.88960548837259	0
AIG1	6.64086092240622	5.91548705154541	4.37834823362071	2.35122979320151	5.96536647277596	4.49393138557274	4.42170599724782	8.65477566279468	5.69891975174992	6.30685859950577
AIG1P1	0	0	8.6006183498733	0	3.36459758710022	0	0	79.5209389854206	32.4645894777051	0
AIM2	45.5696444916498	2.95704205689431	10.8678037633404	0	13.5517516475093	0	5.42535217756812	3.76812133506155	12.8195283956787	0
AIMP1	22.9479956575939	15.5702251311842	14.3553629846275	12.6761656930183	15.6318241577171	16.9911315763553	4.3343103433085	15.0517484790448	17.5967813213651	12.3644052673952
AIMP1P1	1.20714290044106	0	0.679237735208777	0	1.06288248215759	7.70205529537302	0	0	0	0
AIMP1P2	0	0	0	0	0	0	0	0	0	0
AIMP2	19.8003133078909	11.6205713654503	16.7119236207604	5.42210568558039	12.5307332456118	15.7917413824169	1.85395878569706	3.86294276909483	17.0847566069761	4.47509887665655
